"zip","state","county","land_area_in_sqmi","water_area_in_sqmi","median_household_income"
"72199","AR","Pulaski County",NA,NA,NA
"72118","AR","Pulaski County",28.76,1.65,40330
"72211","AR","Pulaski County",7.53,0.07,63415
"72099","AR","Pulaski County",0.19,0,NA
"72103","AR","Saline County",30.76,0.17,45841
"72113","AR","Pulaski County",26.19,1.79,66266
"72210","AR","Pulaski County",50.56,0.63,52269
"72219","AR","Pulaski County",NA,NA,NA
"72215","AR","Pulaski County",NA,NA,NA
"72183","AR","Pulaski County",NA,NA,NA
"72255","AR","",NA,NA,NA
"72205","AR","Pulaski County",7.82,0.04,47179
"72206","AR","Pulaski County",114.12,5.9,35104
"72212","AR","Pulaski County",6.62,0.03,92546
"72204","AR","Pulaski County",15.45,0.23,30451
"72190","AR","Pulaski County",NA,NA,NA
"72122","AR","Saline County",104.24,1.85,64583
"72124","AR","Pulaski County",NA,NA,NA
"72115","AR","Pulaski County",NA,NA,NA
"72214","AR","Pulaski County",NA,NA,NA
"72180","AR","Pulaski County",NA,NA,NA
"72455","AR","Randolph County",283.42,1.97,37154
"72478","AR","Randolph County",51.04,0.05,58138
"72462","AR","Randolph County",6.03,0.34,23125
"72444","AR","Randolph County",96.26,0.5,32986
"72449","AR","Randolph County",2.87,0,22019
"72460","AR","Randolph County",59.76,0.03,30750
"72359","AR","St. Francis County",2.11,0.06,14537
"72394","AR","St. Francis County",82.37,1.8,29375
"72322","AR","St. Francis County",1.94,0,33716
"72340","AR","St. Francis County",8.12,0.04,NA
"72018","AR","Saline County",NA,NA,NA
"72019","AR","Saline County",164.62,0.53,68093
"72089","AR","Saline County",NA,NA,NA
"72022","AR","Saline County",15.23,0.09,61000
"72841","AR","Scott County",51.51,0.34,40882
"72926","AR","Scott County",82.92,0.47,46250
"72944","AR","Sebastian County",79.09,0.68,46250
"72950","AR","Scott County",134.91,0.45,37656
"72645","AR","Searcy County",172.36,0.39,23750
"72669","AR","Searcy County",1.71,0,30667
"72680","AR","Stone County",37.25,0.01,28750
"72650","AR","Searcy County",268.28,0.62,31045
"72636","AR","Searcy County",0.3,0.02,86250
"72936","AR","Sebastian County",87.76,1.04,50926
"72937","AR","Sebastian County",64.7,1.1,38290
"72904","AR","Sebastian County",13.12,1.77,27322
"72917","AR","Sebastian County",NA,NA,NA
"72923","AR","Sebastian County",7.51,0.17,44330
"72914","AR","Sebastian County",NA,NA,NA
"72908","AR","Sebastian County",8.11,0.04,45130
"72906","AR","Sebastian County",NA,NA,NA
"72918","AR","Sebastian County",NA,NA,NA
"72916","AR","Sebastian County",34.61,0.28,66563
"72905","AR","Sebastian County",NA,NA,NA
"72902","AR","Sebastian County",NA,NA,NA
"72919","AR","Sebastian County",NA,NA,NA
"72913","AR","Sebastian County",NA,NA,NA
"72901","AR","Sebastian County",8.78,0.51,30281
"72903","AR","Sebastian County",16.76,1.35,45123
"72938","AR","Sebastian County",50.12,0.3,32426
"72945","AR","Sebastian County",0.68,0.03,56429
"72940","AR","Sebastian County",44.1,0.49,40865
"71832","AR","Sevier County",176.59,1.29,30908
"71842","AR","Sevier County",77.08,0.88,39410
"71846","AR","Sevier County",216.03,12.84,45125
"71823","AR","Sevier County",9.1,0.66,43125
"72569","AR","Sharp County",41.51,0,26833
"72482","AR","Sharp County",68.71,0.4,19969
"72663","AR","Stone County",22.68,0,28343
"72533","AR","Stone County",42.99,0.01,39531
"72555","AR","Stone County",13.37,0.43,43365
"72051","AR","Stone County",41.87,0,14744
"72567","AR","Stone County",11.57,0,31556
"72657","AR","Stone County",NA,NA,NA
"71759","AR","Union County",6.33,0,39821
"71730","AR","Union County",457.02,1.93,37795
"71724","AR","Union County",1.18,0.8,32931
"71747","AR","Union County",80.12,8.06,32841
"71765","AR","Union County",198.3,4.94,30394
"71731","AR","Union County",NA,NA,NA
"71750","AR","Union County",NA,NA,NA
"71749","AR","Union County",165.2,0.08,36250
"71758","AR","Union County",69.46,0.07,50556
"72629","AR","Van Buren County",43.69,0.12,27833
"72141","AR","Van Buren County",83.67,0.36,29432
"72028","AR","Van Buren County",NA,NA,NA
"72730","AR","Washington County",20.7,0.1,50436
"72770","AR","Washington County",NA,NA,NA
"72741","AR","Washington County",NA,NA,NA
"72769","AR","Washington County",40.69,0.25,37708
"72749","AR","Washington County",1.32,0.01,46806
"72765","AR","Washington County",NA,NA,NA
"72735","AR","Washington County",NA,NA,NA
"72753","AR","Washington County",89.55,0.84,55698
"72744","AR","Washington County",79.02,0.63,35906
"72702","AR","Washington County",NA,NA,NA
"72717","AR","Washington County",44.63,0.17,39318
"72728","AR","Benton County",NA,NA,NA
"72737","AR","Washington County",NA,NA,NA
"72701","AR","Washington County",126.56,1.84,37006
"72766","AR","Washington County",NA,NA,NA
"72729","AR","Washington County",12.23,0.04,41359
"72178","AR","White County",NA,NA,NA
"72102","AR","White County",50.6,0.15,47188
"72149","AR","White County",0,0,NA
"72045","AR","White County",44.62,0.01,45966
"72139","AR","White County",0.41,0,26429
"72068","AR","White County",0.96,0,31250
"72010","AR","White County",135.84,1.09,38563
"72082","AR","White County",5.32,0.05,30060
"72085","AR","White County",0.35,0,41875
"72136","AR","White County",51.21,0.17,47024
"72145","AR","White County",NA,NA,NA
"72012","AR","White County",91.28,0.22,42005
"72052","AR","White County",NA,NA,NA
"72074","AR","Woodruff County",34.59,0.75,26250
"72006","AR","Woodruff County",191.96,5.18,22364
"72059","AR","Woodruff County",13.56,0,NA
"72123","AR","Woodruff County",0.88,0,30000
"72827","AR","Yell County",39.01,0.18,21406
"72860","AR","Yell County",35.38,0.19,30709
"72838","AR","Yell County",18.5,0.15,22292
"72829","AR","Yell County",NA,NA,NA
"72833","AR","Yell County",180.58,1.5,41512
"72828","AR","Yell County",20.72,0.2,NA
"72824","AR","Yell County",80.72,0.63,44048
"94538","CA","Alameda County",16.46,0.18,85945
"94588","CA","Alameda County",32.64,0,119849
"94621","CA","Alameda County",7.78,1.77,31082
"94720","CA","Alameda County",0.62,0,23304
"94704","CA","Alameda County",1.07,0,31116
"95377","CA","San Joaquin County",108.05,0.03,98072
"94514","CA","Contra Costa County",28.71,0.18,50199
"94615","CA","Alameda County",NA,NA,NA
"94613","CA","Alameda County",0.25,0,NA
"94537","CA","Alameda County",NA,NA,NA
"94578","CA","Alameda County",4.4,0,51518
"94606","CA","Alameda County",2.29,0.22,38363
"94610","CA","Alameda County",2.18,0.23,72848
"94620","CA","Alameda County",NA,NA,NA
"94608","CA","Alameda County",2.74,0.67,52787
"94662","CA","Alameda County",NA,NA,NA
"94707","CA","Alameda County",1.7,0,138144
"94708","CA","Alameda County",3.39,0.01,140611
"95391","CA","San Joaquin County",23.75,0.42,99764
"95035","CA","Santa Clara County",23.24,0.06,95437
"94501","CA","Alameda County",7.93,3.48,69076
"94546","CA","Alameda County",9.42,0.26,73099
"94543","CA","Alameda County",NA,NA,NA
"94580","CA","Alameda County",3.45,0.01,71098
"94555","CA","Alameda County",11.61,1.41,111268
"94703","CA","Alameda County",1.34,0,55554
"94612","CA","Alameda County",0.85,0,26054
"94710","CA","Alameda County",2.15,2.26,63125
"94505","CA","Contra Costa County",16.27,5.32,111290
"94624","CA","Alameda County",NA,NA,NA
"94666","CA","Alameda County",NA,NA,NA
"94544","CA","Alameda County",10.96,0,60448
"94568","CA","Alameda County",15.29,0,114812
"94579","CA","Alameda County",3.13,0,72369
"94705","CA","Alameda County",3.3,0,94750
"94614","CA","Alameda County",NA,NA,NA
"94701","CA","Alameda County",NA,NA,NA
"94536","CA","Alameda County",14.58,0,87001
"94587","CA","Alameda County",19.72,0,82083
"94566","CA","Alameda County",19.61,0.15,117475
"94609","CA","Alameda County",1.71,0,52400
"94611","CA","Alameda County",10.56,0,104967
"94545","CA","Alameda County",21.54,2.79,69488
"94577","CA","Alameda County",8.15,1.37,63388
"94551","CA","Alameda County",78.92,0.03,95716
"94602","CA","Alameda County",3.3,0.03,71510
"94605","CA","Alameda County",8.96,0.05,56944
"94709","CA","Alameda County",0.59,0,57433
"94618","CA","Alameda County",2.43,0.01,116604
"94623","CA","Alameda County",NA,NA,NA
"94586","CA","Alameda County",58.65,0.77,93036
"94712","CA","Alameda County",NA,NA,NA
"94661","CA","Alameda County",NA,NA,NA
"94541","CA","Alameda County",7.43,0.02,56656
"94502","CA","Alameda County",2.68,1.19,105616
"94542","CA","Alameda County",5.7,0,84817
"94550","CA","Alameda County",232.73,1.66,102413
"94552","CA","Alameda County",44.9,0.02,138447
"94702","CA","Alameda County",1.27,0,57457
"94706","CA","Alameda County",1.48,0,81206
"94603","CA","Alameda County",3.26,0,40927
"94604","CA","Alameda County",NA,NA,NA
"94539","CA","Alameda County",25.42,0,143949
"94540","CA","Alameda County",NA,NA,NA
"94560","CA","Alameda County",13.81,0.02,85847
"94619","CA","Alameda County",15.65,1.44,75963
"94601","CA","Alameda County",3.25,0.12,38305
"94607","CA","Alameda County",5.9,1.18,32856
"94557","CA","Alameda County",NA,NA,NA
"95223","CA","Calaveras County",287.42,1.53,54360
"96120","CA","Alpine County",210.65,0.56,58611
"95665","CA","Amador County",20.35,0.05,46345
"95675","CA","Amador County",0.69,0,32470
"95685","CA","Amador County",49.31,0.01,59239
"95666","CA","Amador County",55.71,0.86,53391
"95640","CA","Amador County",115.41,6.32,58309
"95689","CA","Amador County",27.77,0,78352
"95642","CA","Amador County",66.25,1.82,44811
"95629","CA","Amador County",46.5,0,41181
"95601","CA","Amador County",1.75,0.01,19688
"95654","CA","Amador County",NA,NA,NA
"95669","CA","Amador County",88.32,0.08,67770
"95699","CA","Amador County",4.06,0.03,73555
"95646","CA","Alpine County",3.84,0.95,NA
"95901","CA","Yuba County",196.55,1.6,40260
"95929","CA","Butte County",NA,NA,NA
"95940","CA","Butte County",NA,NA,NA
"95928","CA","Butte County",137.55,2.4,45224
"95954","CA","Butte County",71.03,1.24,39932
"95914","CA","Butte County",14.66,0,45875
"95958","CA","Butte County",NA,NA,NA
"95927","CA","Butte County",NA,NA,NA
"95967","CA","Butte County",NA,NA,NA
"95942","CA","Butte County",55.9,0.02,41323
"95978","CA","Butte County",6.33,0,NA
"95973","CA","Butte County",332.8,1.87,55426
"95916","CA","Butte County",96.82,7.72,36875
"95917","CA","Butte County",68.91,0.42,43915
"95930","CA","Butte County",16.76,0.17,NA
"95965","CA","Butte County",320.2,16.4,36080
"95941","CA","Butte County",15.8,0.04,51417
"95976","CA","Butte County",NA,NA,NA
"95926","CA","Butte County",7.65,0,39216
"95938","CA","Butte County",71.87,0.04,61849
"95968","CA","Butte County",1.55,0,46618
"95974","CA","Butte County",8.4,0,NA
"95969","CA","Butte County",59.03,0.32,41179
"95966","CA","Butte County",184.06,8.76,42555
"95948","CA","Butte County",78.02,0.26,44034
"95252","CA","Calaveras County",122.48,7.6,65395
"95233","CA","Calaveras County",7,0,52222
"95224","CA","Calaveras County",11.37,0.04,21429
"95249","CA","Calaveras County",83.8,0.9,44038
"95247","CA","Calaveras County",41.68,0.03,47479
"95229","CA","Calaveras County",NA,NA,NA
"95226","CA","Calaveras County",5.65,0.15,NA
"95222","CA","Calaveras County",151.09,3.78,52088
"95246","CA","Calaveras County",52.16,0.06,47379
"95230","CA","San Joaquin County",113.65,6.7,45769
"95257","CA","Calaveras County",15.2,0.06,46111
"95221","CA","Calaveras County",NA,NA,NA
"95255","CA","Calaveras County",44.6,0.05,39308
"95245","CA","Calaveras County",68.44,0.07,62077
"95251","CA","Calaveras County",10.99,0,67171
"95232","CA","Calaveras County",7.9,0,55417
"95228","CA","Calaveras County",106.83,1.27,61488
"95254","CA","Calaveras County",5.51,0.38,151298
"95248","CA","Calaveras County",31.81,0.16,21382
"95236","CA","San Joaquin County",108.06,0.74,81510
"95225","CA","Calaveras County",7.01,0.08,52788
"95950","CA","Colusa County",50.99,0.21,58125
"95988","CA","Glenn County",310.53,0.8,47184
"95932","CA","Colusa County",124.19,1.97,50531
"95912","CA","Colusa County",180.54,0.29,53333
"95979","CA","Colusa County",284.42,2.8,42167
"95645","CA","Yolo County",128,2.26,44954
"95939","CA","Glenn County",305.87,3.09,29861
"95987","CA","Colusa County",334.72,0.08,53596
"95970","CA","Colusa County",46.82,0.51,60658
"95955","CA","Colusa County",123,0.03,43977
"95957","CA","Sutter County",69.86,0.63,56875
"94530","CA","Contra Costa County",4.83,0,84466
"94506","CA","Contra Costa County",18.79,0.01,171214
"94509","CA","Contra Costa County",16.43,1.38,53953
"94596","CA","Contra Costa County",5.96,0,77173
"94805","CA","Contra Costa County",1.99,0,65747
"94806","CA","Contra Costa County",8.33,0.23,52976
"94525","CA","Contra Costa County",2.35,0.71,83716
"94820","CA","Contra Costa County",NA,NA,NA
"94802","CA","Contra Costa County",NA,NA,NA
"94569","CA","Contra Costa County",2.37,0,86719
"94575","CA","Contra Costa County",0.17,0.01,NA
"94513","CA","Contra Costa County",75.66,1.95,91343
"94521","CA","Contra Costa County",12.96,0,81144
"94522","CA","Contra Costa County",NA,NA,NA
"94564","CA","Contra Costa County",5.59,0.46,76960
"94548","CA","Contra Costa County",2.76,0.05,77750
"94597","CA","Contra Costa County",3.91,0,86227
"94511","CA","Contra Costa County",5.56,0,35288
"94549","CA","Contra Costa County",19.21,0.17,135980
"94595","CA","Contra Costa County",5.38,0,57744
"94528","CA","Contra Costa County",2.34,0,223893
"94516","CA","Contra Costa County",0.87,0,100938
"94523","CA","Contra Costa County",7.24,0,77485
"94520","CA","Contra Costa County",10.09,0,47313
"94572","CA","Contra Costa County",4.34,0.88,64756
"94804","CA","Contra Costa County",6.18,2.65,49261
"94598","CA","Contra Costa County",15.25,0.01,121067
"94807","CA","Contra Costa County",NA,NA,NA
"94518","CA","Contra Costa County",5.44,0,70546
"94531","CA","Contra Costa County",10.96,0,87927
"94583","CA","Contra Costa County",14.95,0,119623
"94565","CA","Contra Costa County",30.2,3.69,55255
"94553","CA","Contra Costa County",48.94,2.58,75672
"94801","CA","Contra Costa County",11.28,6.36,40030
"94561","CA","Contra Costa County",16.93,0.98,76693
"94570","CA","Contra Costa County",NA,NA,NA
"94850","CA","Contra Costa County",0,0,NA
"94526","CA","Contra Costa County",14.93,0,124511
"94519","CA","Contra Costa County",4.37,0,70476
"94507","CA","Contra Costa County",12.7,0,160279
"94517","CA","Contra Costa County",57.22,0,116677
"94803","CA","Contra Costa County",11.67,0,75052
"94524","CA","Contra Costa County",NA,NA,NA
"94582","CA","Contra Costa County",13,0.02,137395
"94556","CA","Contra Costa County",12.25,0,120960
"94547","CA","Contra Costa County",5.44,0.83,97269
"94563","CA","Contra Costa County",17.26,0.01,164173
"95543","CA","Del Norte County",101.97,0.25,29038
"95538","CA","Del Norte County",NA,NA,NA
"95531","CA","Del Norte County",195.17,29.74,39486
"95532","CA","Del Norte County",NA,NA,NA
"95567","CA","Del Norte County",62.55,3.98,43125
"95548","CA","Del Norte County",87.34,7.24,27243
"95667","CA","El Dorado County",173.22,0.42,57468
"95672","CA","El Dorado County",22.57,0.19,93209
"95682","CA","El Dorado County",81.15,0.11,77718
"95762","CA","El Dorado County",41.29,2.25,119382
"95634","CA","El Dorado County",81.13,0.08,56528
"95636","CA","El Dorado County",115.94,0,50000
"95735","CA","El Dorado County",21.66,0.31,33750
"95684","CA","El Dorado County",145.4,0.06,53148
"95623","CA","El Dorado County",52.35,0.01,62321
"95664","CA","El Dorado County",37.73,4.71,89141
"95613","CA","El Dorado County",NA,NA,NA
"95726","CA","El Dorado County",74.3,0.85,55526
"95614","CA","El Dorado County",35.5,0.09,92721
"95651","CA","El Dorado County",11.61,0,55446
"95635","CA","El Dorado County",20.28,0.02,43542
"95720","CA","El Dorado County",121.08,0.58,55938
"95721","CA","El Dorado County",12.53,0.69,NA
"95633","CA","El Dorado County",41.23,0.04,65603
"95619","CA","El Dorado County",6.01,0.04,57340
"96158","CA","El Dorado County",NA,NA,NA
"95656","CA","El Dorado County",NA,NA,NA
"96150","CA","El Dorado County",123.57,4.49,46859
"96151","CA","El Dorado County",NA,NA,NA
"95709","CA","El Dorado County",22.33,0.03,68628
"96155","CA","El Dorado County",37.04,0.03,NA
"96142","CA","El Dorado County",20.21,2.09,40913
"93622","CA","Fresno County",354.5,2.11,32865
"93662","CA","Fresno County",78.79,0.21,43790
"93646","CA","Fresno County",42.61,0,27906
"93701","CA","Fresno County",1.51,0,20201
"93640","CA","Fresno County",113.1,1.42,25019
"93650","CA","Fresno County",0.71,0,30205
"93654","CA","Fresno County",98.55,0.57,48817
"93723","CA","Fresno County",42.68,0.02,65045
"93706","CA","Fresno County",163.54,0,29275
"93624","CA","Fresno County",112.06,0.14,34676
"93717","CA","Fresno County",NA,NA,NA
"93774","CA","Fresno County",NA,NA,NA
"93602","CA","Fresno County",143.58,0.58,58168
"93648","CA","Fresno County",22.93,0,35499
"93618","CA","Tulare County",66.66,0,38110
"93710","CA","Fresno County",7.01,0,42286
"93234","CA","Fresno County",80.16,0,23238
"93628","CA","Fresno County",35.88,0.13,58977
"93745","CA","Fresno County",NA,NA,NA
"93718","CA","Fresno County",NA,NA,NA
"93773","CA","Fresno County",NA,NA,NA
"93603","CA","Tulare County",43.52,0.03,36875
"93608","CA","Fresno County",108.98,0.34,30523
"93844","CA","Fresno County",NA,NA,NA
"93777","CA","Fresno County",NA,NA,NA
"93741","CA","Fresno County",NA,NA,NA
"93707","CA","Fresno County",NA,NA,NA
"93627","CA","Fresno County",35.66,0,NA
"93625","CA","Fresno County",24.72,0,45230
"93630","CA","Fresno County",155.71,1.12,48115
"93609","CA","Fresno County",61.49,0,47361
"93656","CA","Fresno County",109.85,0.01,43864
"93664","CA","Fresno County",191.71,3.42,78750
"93726","CA","Fresno County",6.42,0,32796
"93703","CA","Fresno County",4.73,0,28663
"93616","CA","Fresno County",13.87,0,31108
"93668","CA","Fresno County",33.66,0.07,28571
"93737","CA","Fresno County",NA,NA,NA
"93775","CA","Fresno County",NA,NA,NA
"93747","CA","Fresno County",NA,NA,NA
"93709","CA","Fresno County",NA,NA,NA
"93620","CA","Merced County",174.67,0.32,34579
"93750","CA","Fresno County",NA,NA,NA
"93888","CA","Fresno County",NA,NA,NA
"93761","CA","Fresno County",NA,NA,NA
"93786","CA","Fresno County",NA,NA,NA
"93613","CA","Fresno County",NA,NA,NA
"93721","CA","Fresno County",2.05,0,16597
"93792","CA","Fresno County",NA,NA,NA
"93708","CA","Fresno County",NA,NA,NA
"93794","CA","Fresno County",NA,NA,NA
"93744","CA","Fresno County",NA,NA,NA
"93652","CA","Fresno County",2.06,0,28750
"93790","CA","Fresno County",NA,NA,NA
"93760","CA","Fresno County",NA,NA,NA
"93772","CA","Fresno County",NA,NA,NA
"93793","CA","Fresno County",NA,NA,NA
"93634","CA","Fresno County",1184.71,22.73,NA
"93765","CA","Fresno County",NA,NA,NA
"93647","CA","Tulare County",106.86,0.01,33205
"93619","CA","Fresno County",178.42,1.33,106235
"93612","CA","Fresno County",6.61,0,39801
"93631","CA","Fresno County",80.23,0.31,55266
"93728","CA","Fresno County",3.06,0,32215
"93660","CA","Fresno County",81.22,0.52,26978
"93651","CA","Fresno County",28.73,0.03,88080
"93771","CA","Fresno County",NA,NA,NA
"93778","CA","Fresno County",NA,NA,NA
"93740","CA","Fresno County",NA,NA,NA
"93210","CA","Fresno County",771.77,0.3,47088
"93704","CA","Fresno County",5.48,0,45866
"93711","CA","Fresno County",11.31,0.14,65678
"93725","CA","Fresno County",65.43,0.06,35974
"93730","CA","Fresno County",7.58,0.67,118396
"93724","CA","Fresno County",NA,NA,NA
"93714","CA","Fresno County",NA,NA,NA
"93715","CA","Fresno County",NA,NA,NA
"93791","CA","Fresno County",NA,NA,NA
"93606","CA","Fresno County",0.15,0,23750
"93642","CA","Fresno County",NA,NA,NA
"93605","CA","Fresno County",0.42,0,84375
"93242","CA","Fresno County",41.07,0,41325
"93611","CA","Fresno County",11.19,0,78482
"93626","CA","Fresno County",99.57,6.08,32560
"93705","CA","Fresno County",4.88,0,32485
"93722","CA","Fresno County",19.59,0.07,55500
"93720","CA","Fresno County",9.96,0.05,75200
"93729","CA","Fresno County",NA,NA,NA
"93755","CA","Fresno County",NA,NA,NA
"93776","CA","Fresno County",NA,NA,NA
"93716","CA","Fresno County",NA,NA,NA
"93764","CA","Fresno County",NA,NA,NA
"93649","CA","Fresno County",NA,NA,NA
"93621","CA","Fresno County",65.98,3.94,32014
"93667","CA","Fresno County",111.34,0.89,54459
"93675","CA","Fresno County",78.81,0.06,60743
"93657","CA","Fresno County",213.08,4.77,47781
"93727","CA","Fresno County",32.51,0,45760
"93702","CA","Fresno County",5.26,0,27372
"93641","CA","Fresno County",31.93,0.15,33622
"93712","CA","Fresno County",NA,NA,NA
"93779","CA","Fresno County",NA,NA,NA
"95951","CA","Glenn County",18.37,0.96,39150
"95913","CA","Glenn County",NA,NA,NA
"95943","CA","Glenn County",63.3,2.17,48906
"95920","CA","Glenn County",69.08,0.24,66250
"95963","CA","Glenn County",305.67,5.74,41738
"95540","CA","Humboldt County",27.77,0.48,40751
"95502","CA","Humboldt County",NA,NA,NA
"95549","CA","Humboldt County",112.34,0.07,52222
"95551","CA","Humboldt County",42.57,10.33,45417
"95589","CA","Humboldt County",186.68,9.03,50188
"95528","CA","Humboldt County",102.59,0.16,41597
"95519","CA","Humboldt County",56.8,1.44,48914
"95521","CA","Humboldt County",53.5,17.71,34046
"95546","CA","Humboldt County",136.5,1.5,26786
"95536","CA","Humboldt County",147.19,1.24,45188
"95558","CA","Humboldt County",200.91,0.29,36538
"95537","CA","Humboldt County",0.18,0,NA
"95565","CA","Humboldt County",33.26,0.65,52853
"95555","CA","Humboldt County",85.93,0.53,32750
"95568","CA","Siskiyou County",81.25,1.15,53333
"95503","CA","Humboldt County",86.45,3.2,47537
"95542","CA","Humboldt County",197.59,0.25,43021
"95562","CA","Humboldt County",24.59,0.27,42325
"95518","CA","Humboldt County",NA,NA,NA
"95573","CA","Humboldt County",120.28,0.37,31530
"95511","CA","Humboldt County",58.39,0.07,11955
"95556","CA","Humboldt County",136.99,0.7,49833
"95545","CA","Humboldt County",47.95,0,49167
"95553","CA","Humboldt County",59.27,0.06,37993
"95570","CA","Humboldt County",23.71,13.15,47417
"95524","CA","Humboldt County",10.42,0.01,62557
"95550","CA","Humboldt County",134.93,0.19,65417
"95587","CA","Mendocino County",13,0,112083
"95554","CA","Humboldt County",50.2,0.19,31107
"95526","CA","Humboldt County",110.08,0.18,20083
"95559","CA","Humboldt County",18.05,0.04,23059
"95534","CA","Humboldt County",NA,NA,NA
"95525","CA","Humboldt County",83.4,0.15,49934
"95547","CA","Humboldt County",7.54,0,58250
"95564","CA","Humboldt County",3.32,1.49,48571
"95501","CA","Humboldt County",7.05,1.71,37600
"95560","CA","Humboldt County",33.31,0.06,27635
"95569","CA","Humboldt County",61.85,0.69,37727
"95514","CA","Humboldt County",86.7,0.22,20625
"95563","CA","Trinity County",60.22,0.07,36696
"95571","CA","Humboldt County",0.76,0.02,NA
"92251","CA","Imperial County",199.54,0.02,71574
"92266","CA","Imperial County",325.95,0.68,NA
"92250","CA","Imperial County",414.98,0,41133
"92233","CA","Imperial County",150.65,73.36,35152
"92232","CA","Imperial County",NA,NA,NA
"92259","CA","Imperial County",324.14,0,20951
"92244","CA","Imperial County",NA,NA,NA
"92274","CA","Riverside County",178.87,32.74,27305
"92243","CA","Imperial County",110.28,0.06,42618
"92257","CA","Imperial County",743.89,76.28,16082
"92275","CA","Imperial County",62.38,101,19854
"92283","CA","Imperial County",743.62,6.95,28913
"92281","CA","Imperial County",14.26,0,30543
"92249","CA","Imperial County",21.46,0,55886
"92225","CA","Riverside County",599.07,3.83,42799
"92273","CA","Imperial County",6.95,0.01,41354
"92231","CA","Imperial County",57.09,0,35723
"92227","CA","Imperial County",540.86,14.07,42614
"92222","CA","Imperial County",1.58,0,NA
"93515","CA","Inyo County",NA,NA,NA
"93527","CA","Kern County",545.31,0.18,52170
"93526","CA","Inyo County",136.92,0.34,58958
"93545","CA","Inyo County",106.82,0.3,32473
"93530","CA","Inyo County",0.91,0,28333
"93514","CA","Inyo County",1115.76,4.67,51218
"92384","CA","Inyo County",140.02,0,54750
"93522","CA","Inyo County",46.2,0.04,NA
"93549","CA","Inyo County",335.48,3.77,44261
"92328","CA","Inyo County",701.08,5.05,38500
"93513","CA","Inyo County",643.48,2.86,44583
"92389","CA","Inyo County",137.72,0.07,20000
"93390","CA","Kern County",NA,NA,NA
"93249","CA","Kern County",223.13,0.53,32768
"93516","CA","Kern County",19.28,0,35872
"93312","CA","Kern County",15.22,0,90495
"93304","CA","Kern County",7.59,0,35059
"93305","CA","Kern County",5.93,0,31179
"93504","CA","Kern County",NA,NA,NA
"93536","CA","Los Angeles County",242.69,0.88,70577
"93554","CA","Kern County",74.08,0.05,26280
"93276","CA","Kern County",0.69,0,46250
"93268","CA","Kern County",41.95,0,45024
"93252","CA","Kern County",679.52,6.3,31550
"93561","CA","Kern County",264.15,0.29,57433
"93306","CA","Kern County",88.07,0.53,54126
"93308","CA","Kern County",316.01,0.69,42543
"93224","CA","Kern County",22.36,0,60114
"93387","CA","Kern County",NA,NA,NA
"93255","CA","Kern County",216.5,0.05,31250
"93302","CA","Kern County",NA,NA,NA
"93287","CA","Kern County",55.87,0,58125
"93528","CA","Kern County",3.8,0,NA
"93226","CA","Kern County",93.61,0.09,44107
"93220","CA","Kern County",26.37,0,NA
"93280","CA","Kern County",322.06,0.04,39038
"93560","CA","Kern County",159.55,0.26,59142
"93518","CA","Kern County",298.13,0.08,45382
"93307","CA","Kern County",138.9,0.29,33711
"93313","CA","Kern County",99.67,0,61226
"93389","CA","Kern County",NA,NA,NA
"93238","CA","Kern County",126.58,4.27,58480
"93531","CA","Kern County",34.32,0.01,82622
"93386","CA","Kern County",NA,NA,NA
"93388","CA","Kern County",NA,NA,NA
"93285","CA","Kern County",47.16,2.74,31761
"93581","CA","Kern County",NA,NA,NA
"93502","CA","Kern County",NA,NA,NA
"93219","CA","Tulare County",97.31,0.1,25000
"93461","CA","San Luis Obispo County",354.25,1,63750
"93241","CA","Kern County",4.12,0,32490
"93225","CA","Kern County",177.21,0.05,55313
"93283","CA","Kern County",204.29,0.58,24821
"93555","CA","Kern County",81.57,0.46,61221
"93501","CA","Kern County",163.83,0.1,30250
"93301","CA","Kern County",4.18,0.13,31721
"93311","CA","Kern County",169.49,0.64,86026
"93380","CA","Kern County",NA,NA,NA
"93222","CA","Kern County",28.75,0.01,44179
"93215","CA","Kern County",141.89,0.69,35195
"93243","CA","Kern County",150.34,2.87,64611
"93203","CA","Kern County",214.75,0.1,33147
"93250","CA","Kern County",84.57,0.02,35616
"93505","CA","Kern County",78.21,0.09,51238
"93314","CA","Kern County",98.93,0.41,95830
"93384","CA","Kern County",NA,NA,NA
"93556","CA","Kern County",NA,NA,NA
"93251","CA","Kern County",133.81,0,38750
"93303","CA","Kern County",NA,NA,NA
"93240","CA","Kern County",74.8,6.16,22706
"93206","CA","Kern County",149.54,0.22,43355
"93263","CA","Kern County",90.6,0,41448
"93523","CA","Kern County",97.41,0.58,52569
"93524","CA","Kern County",2.05,0,NA
"93309","CA","Kern County",10.64,0.31,47593
"93385","CA","Kern County",NA,NA,NA
"93205","CA","Kern County",57.59,0.02,21552
"93266","CA","Kings County",55.73,0,28700
"93274","CA","Tulare County",214.07,0.57,44775
"93212","CA","Kings County",106.08,0,33756
"93245","CA","Kings County",117.86,0.08,51850
"93239","CA","Kings County",63.93,0.23,41912
"93246","CA","Kings County",NA,NA,NA
"93202","CA","Kings County",0.78,0,40484
"93230","CA","Kings County",261.81,0.95,52611
"93204","CA","Kings County",59.62,0,28794
"93232","CA","Kings County",NA,NA,NA
"95467","CA","Lake County",9.81,0.15,63281
