"","L1","L2","LineDescription","Quarter","RealGDP"
"55","NX","Exports","Ex_Goods","2020Q1",1586245
"56","NX","Exports","Ex_Goods","2020Q2",1146342
"57","NX","Exports","Ex_Goods","2020Q3",1412964
"58","NX","Exports","Ex_Goods","2020Q4",1520817
"59","NX","Exports","Ex_Goods","2021Q1",1607521
"60","NX","Exports","Ex_Goods","2021Q2",1726785
"61","NX","Exports","Ex_Goods","2021Q3",1750658
"62","NX","Exports","Ex_Goods","2021Q4",1877040
"63","NX","Exports","Ex_Goods","2022Q1",1937832
"64","NX","Exports","Ex_Services","2020Q1",799298
"65","NX","Exports","Ex_Services","2020Q2",661521
"66","NX","Exports","Ex_Services","2020Q3",666589
"67","NX","Exports","Ex_Services","2020Q4",699866
"68","NX","Exports","Ex_Services","2021Q1",704409
"69","NX","Exports","Ex_Services","2021Q2",734763
"70","NX","Exports","Ex_Services","2021Q3",734569
"71","NX","Exports","Ex_Services","2021Q4",777419
"72","NX","Exports","Ex_Services","2022Q1",794601
"73","NX","Imports","Im_Goods","2020Q1",2385085
"74","NX","Imports","Im_Goods","2020Q2",1942110
"75","NX","Imports","Im_Goods","2020Q3",2368758
"76","NX","Imports","Im_Goods","2020Q4",2540813
"77","NX","Imports","Im_Goods","2021Q1",2698076
"78","NX","Imports","Im_Goods","2021Q2",2818997
"79","NX","Imports","Im_Goods","2021Q3",2857436
"80","NX","Imports","Im_Goods","2021Q4",3027052
"81","NX","Imports","Im_Goods","2022Q1",3288262
"82","NX","Imports","Im_Services","2020Q1",542175
"83","NX","Imports","Im_Services","2020Q2",404629
"84","NX","Imports","Im_Services","2020Q3",436518
"85","NX","Imports","Im_Services","2020Q4",478301
"86","NX","Imports","Im_Services","2021Q1",486394
"87","NX","Imports","Im_Services","2021Q2",524241
"88","NX","Imports","Im_Services","2021Q3",574814
"89","NX","Imports","Im_Services","2021Q4",598838
"90","NX","Imports","Im_Services","2022Q1",622075
"91","G","Federal","National defense","2020Q1",868285
"92","G","Federal","National defense","2020Q2",872393
"93","G","Federal","National defense","2020Q3",883867
"94","G","Federal","National defense","2020Q4",900775
"95","G","Federal","National defense","2021Q1",897068
"96","G","Federal","National defense","2021Q2",904111
"97","G","Federal","National defense","2021Q3",910891
"98","G","Federal","National defense","2021Q4",909029
"99","G","Federal","National defense","2022Q1",903765
"100","G","Federal","Nondefense","2020Q1",586432
"101","G","Federal","Nondefense","2020Q2",652585
"102","G","Federal","Nondefense","2020Q3",631263
"103","G","Federal","Nondefense","2020Q4",611519
"104","G","Federal","Nondefense","2021Q1",671564
"105","G","Federal","Nondefense","2021Q2",659161
"106","G","Federal","Nondefense","2021Q3",651094
"107","G","Federal","Nondefense","2021Q4",657123
"108","G","Federal","Nondefense","2022Q1",663117
"109","G","State and local","State and local","2020Q1",2376918
"110","G","State and local","State and local","2020Q2",2334626
"111","G","State and local","State and local","2020Q3",2346536
"112","G","State and local","State and local","2020Q4",2372959
"113","G","State and local","State and local","2021Q1",2408706
"114","G","State and local","State and local","2021Q2",2452608
"115","G","State and local","State and local","2021Q3",2522874
"116","G","State and local","State and local","2021Q4",2566712
"117","G","State and local","State and local","2022Q1",2632598
